group_id,time,value
10,255,1,-0.009694
10,256,1,-0.0144599999999999
10,257,1,-0.018573
10,258,1,-0.024053
10,259,1,-0.017398
10,260,1,-0.0186889999999999
10,261,1,-0.015075
10,262,1,-0.02172
10,263,1,-0.022996
10,264,1,-0.02373
10,265,1,-0.0149039999999999
10,266,1,-0.016606
10,267,1,-0.0165629999999999
10,268,1,-0.017605
10,269,1,-0.011675
10,270,1,-0.0170759999999999
10,271,1,-0.017784
10,272,1,-0.011601
10,273,1,-0.02159
10,274,1,-0.014583
10,275,1,-0.017683
10,276,1,-0.017637
10,277,1,-0.015882
10,278,1,-0.011889
10,279,1,-0.019612
10,280,1,-0.018833
10,281,1,-0.023211
10,282,1,-0.020815
10,283,1,-0.01944
10,284,1,-0.013423
10,285,1,-0.013796
10,286,1,-0.0213229999999999
10,287,1,-0.023856
10,288,1,-0.021054
10,289,1,-0.012691
10,290,1,-0.009868
10,291,1,-0.015648
10,292,1,-0.0170449999999999
10,293,1,-0.021547
10,294,1,-0.0208229999999999
10,295,1,-0.018165
10,296,1,-0.010366
10,297,1,-0.015416
10,298,1,-0.017988
10,299,1,-0.023528
10,300,1,-0.022576
10,301,1,-0.016842
10,302,1,-0.009959
10,303,1,-0.011447
10,304,1,-0.017516
10,305,1,-0.019879
10,306,1,-0.021591
10,307,1,-0.019524
10,308,1,-0.019508
10,309,1,-0.015819
10,310,1,-0.013142
10,311,1,-0.025341
10,312,1,-0.023869
10,313,1,-0.020842
10,314,1,-0.0131539999999999
10,315,1,-0.013693
10,316,1,-0.015363
10,317,1,-0.021222
10,318,1,-0.024081
10,319,1,-0.02274
10,320,1,-0.017632
10,321,1,-0.011267
10,322,1,-0.013748
10,323,1,-0.016446
10,324,1,-0.025325
10,325,1,-0.024556
10,326,1,-0.011631
10,327,1,-0.014669
10,328,1,-0.011932
10,329,1,-0.020689
10,330,1,-0.018599
10,331,1,-0.018705
10,332,1,-0.015774
10,333,1,-0.013619
10,334,1,-0.0133569999999999
10,335,1,-0.021407
10,336,1,-0.025519
10,337,1,-0.0195669999999999
10,338,1,-0.012636
10,339,1,-0.015201
10,340,1,-0.017946
10,341,1,-0.0208539999999999
10,342,1,-0.022413
10,343,1,-0.020405
10,344,1,-0.0199349999999999
10,345,1,-0.015347
10,346,1,-0.011537
10,347,1,-0.017699
10,348,1,-0.018501
10,349,1,-0.01707
10,350,1,-0.012163
10,351,1,-0.011682
10,352,1,-0.015196
10,353,1,-0.022368
10,354,1,-0.028643
10,355,1,-0.0214639999999999
10,356,1,-0.015515
10,357,1,-0.009872
10,358,1,-0.007645
10,359,1,-0.019472
10,360,1,-0.0263649999999999
10,361,1,-0.020377
10,362,1,-0.010992
10,363,1,-0.009436
10,364,1,-0.012274
10,365,1,-0.020808
10,366,1,-0.0280149999999999
10,367,1,-0.02945
10,368,1,-0.012583
10,369,1,-0.0104099999999999
10,370,1,-0.004458
10,371,1,-0.0180229999999999
10,372,1,-0.020592
10,373,1,-0.024773
10,374,1,-0.0233449999999999
10,375,1,-0.014591
10,376,1,-0.010358
10,377,1,-0.015867
10,378,1,-0.020103
10,379,1,-0.019684
10,380,1,-0.016888
10,381,1,-0.012802
10,382,1,-0.009794
10,383,1,-0.018243
10,384,1,-0.0255449999999999
10,385,1,-0.028942
10,386,1,-0.018404
10,387,1,-0.013779
10,388,1,-0.016807
10,389,1,-0.00832
10,390,1,-0.0114709999999999
10,391,1,-0.009568
10,392,1,-0.017484
10,393,1,-0.01615
10,394,1,-0.018628
10,395,1,-0.0145669999999999
10,396,1,-0.017997
10,397,1,-0.03118
10,398,1,-0.0193419999999999
10,399,1,-0.015247
10,400,1,-0.015097
10,401,1,-0.012493
10,402,1,-0.034032
10,403,1,-0.017159
10,404,1,-0.025772
10,405,1,-0.018585
10,406,1,-0.002937
10,407,1,-0.014599
10,408,1,-0.031063
10,409,1,-0.02356
10,410,1,-0.025117
10,411,1,-0.020811
10,412,1,-0.0112719999999999
10,413,1,-0.015345
10,414,1,-0.0078269999999999
10,415,1,-0.007637
10,416,1,-0.01511
10,417,1,-0.0160669999999999
10,418,1,-0.021705
10,419,1,-0.019438
10,420,1,-0.023666
10,421,1,-0.032101
10,422,1,-0.0348889999999999
10,423,1,-0.01907
10,424,1,-0.010933
10,425,1,-0.0114069999999999
10,426,1,-0.006342
10,427,1,-0.017831
10,428,1,-0.019178
10,429,1,-0.015347
10,430,1,-0.02331
10,431,1,-0.007
10,432,1,-0.017643
10,433,1,-0.023533
10,434,1,-0.021331
10,435,1,-0.019312
10,436,1,-0.0142
10,437,1,-0.013186
10,438,1,-0.019096
10,439,1,-0.0246289999999999
10,440,1,-0.024053
10,441,1,-0.024609
10,442,1,-0.018508
10,443,1,-0.016212
10,444,1,-0.017244
10,445,1,-0.016373
10,446,1,-0.018003
10,447,1,-0.0153699999999999
10,448,1,-0.007676
10,449,1,-0.007895
10,450,1,-0.011597
10,451,1,-0.018364
10,452,1,-0.021113
10,453,1,-0.019398
10,454,1,-0.012624
10,455,1,-0.015267
10,456,1,-0.016942
10,457,1,-0.0212639999999999
10,458,1,-0.029431
10,459,1,-0.020546
10,460,1,-0.0134389999999999
10,461,1,-0.019959
10,462,1,-0.012625
10,463,1,-0.01943
10,464,1,-0.024936
10,465,1,-0.021047
10,466,1,-0.015819
10,467,1,-0.014288
10,468,1,-0.009174
10,469,1,-0.020837
10,470,1,-0.017571
10,471,1,-0.015534
10,472,1,-0.017586
10,473,1,-0.014391
10,474,1,-0.014601
10,475,1,-0.021842
