time_step,motor_speed,torque,i_d,i_q,ambient,coolant,stator_winding,stator_yoke,profile_id,pm
2897,99.98729705810548,0.1272182613611221,-2.000542879,1.0975298881530762,21.823562622070312,19.3006591796875,19.85062026977539,19.14643859863281,3,24.882587432861328
2898,99.97245025634766,0.1117169931530952,-2.00123167,1.0951939821243286,21.96106338500977,19.157379150390625,19.85062026977539,19.13164329528809,3,24.828184127807617
2899,99.99154663085938,0.1128094345331192,-2.000302315,1.0956873893737793,22.044551849365234,19.28382873535156,19.85062026977539,19.14908790588379,3,24.848339080810547
2900,100.00794219970705,0.1183573827147483,-1.999893546,1.0982551574707031,22.033039093017575,19.31399345397949,19.85062026977539,19.167449951171875,3,24.900508880615234
2901,99.98980712890624,0.1122808828949928,-1.999359608,1.099250316619873,22.04491424560547,19.300010681152344,19.85062026977539,19.11801147460937,3,24.841684341430664
2902,100.01280212402344,0.1288194954395294,-2.000689268,1.096359372138977,21.60360717773437,19.18368911743164,19.85062026977539,19.11358070373535,3,24.858243942260746
2903,100.00279998779295,0.1166107505559921,-2.001194,1.095283031463623,21.644962310791016,19.179330825805664,19.85062026977539,19.110811233520508,3,24.87553024291992
2904,99.99518585205078,0.1250044256448745,-2.000716448,1.0983352661132812,21.649768829345703,19.057079315185547,19.85062026977539,19.1197452545166,3,24.8689079284668
2905,99.99495697021484,0.1292804181575775,-2.001108885,1.095712184906006,21.646364212036133,19.180551528930664,19.85012435913086,19.11310577392578,3,24.84919166564941
2906,100.09342193603516,95.50328826904295,-39.83203888,122.58168029785156,21.459964752197266,18.907760620117188,19.849458694458008,19.095335006713867,3,24.842235565185547
2907,100.0066146850586,102.95571899414062,-43.15512466,131.6442413330078,21.79262924194336,19.223257064819336,19.85050773620605,19.10979652404785,3,24.87494659423828
2908,100.01776885986328,103.72535705566406,-43.50970078,132.61126708984375,21.970191955566406,18.9755802154541,20.01205062866211,19.101917266845703,3,24.802757263183597
2909,100.01530456542967,103.72567749023438,-43.512146,132.61767578125,21.814180374145508,19.27335357666016,21.27523231506348,19.1211051940918,3,24.81758499145508
2910,99.9796142578125,103.73169708251952,-43.51186752,132.61814880371094,21.511619567871094,18.91773796081543,21.89254379272461,19.09767341613769,3,24.86587142944336
2911,99.9752426147461,103.72740173339844,-43.51190948,132.61795043945312,21.442604064941406,18.9348087310791,22.104930877685547,19.100385665893555,3,24.840763092041016
2912,99.99967956542967,103.7144546508789,-43.51225281,132.61822509765625,21.47593116760254,19.10704803466797,22.234901428222656,19.11211204528809,3,24.848487854003903
